"address","totalClaim","bought","gasRefund","refundedTxs","totalClaimRaw"
"0xdcf81f0b32984c32433cb5f58365543244bd134c","39736.403462905963","35676.573912275592","4059.829550630371",5,"39736403462905963"
"0x19c1500e74f915333bd249e613ee2fadc6348845","19687.905994013235","17854.367114929937","1833.538879083298",1,"19687905994013235"
"0x7e21d40ba5ed1a483cb02a8ef4066c81a1cd6937","118513.852098420089","114803.01071437997","3710.841384040119",3,"118513852098420089"
"0xe99609abe4594b94f6c4cd85aee2c5f14f420eab","21069.708222193539","20347.644837463749","722.06338472979",1,"21069708222193539"
"0x5cc688704bd00fac6e9081cbc011810adfcced02","103715.710656254498","101305.046878657715","2410.663777596783",4,"103715710656254498"
"0xba46868f49182b521b71bf9894d24da7e969e286","109450.307070182623","109450.307070182623","0.0",0,"109450307070182623"
"0xf8b51712b236b53c458429e9642743956f11b98b","199167.384443477205","198359.321506595856","808.062936881349",1,"199167384443477205"
"0x5b71746b96e9d2986f8a4305b20e1ca6f9247d69","40753.879889491413","40025.047709531475","728.832179959938",1,"40753879889491413"
"0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de","10659.111056097415","10000.0","659.111056097415",1,"10659111056097415"
"0x1ea0d4d1f38700ff7102dee483d6ca3279be441a","41240.337723481369","40070.284275725334","1170.053447756035",1,"41240337723481369"
"0xbe888884c76d0e5d30ed0651fd45483203d550b2","5006477.183134666905","5002248.093414954647","4229.089719712258",4,"5006477183134666905"
"0x336d4afd4c1e0b82a2bb38859c234c54edf0a983","130971.885068412528","127204.215634272201","3767.669434140327",4,"130971885068412528"
"0x636310779abdd82fd261d442df1a4865cfb20f88","6662.036496552376","5089.581845206855","1572.454651345521",2,"6662036496552376"
"0x16f1760ed9321eac4788514b1e5cce598ab3c43a","109655.946274469943","105743.224057418622","3912.722217051321",5,"109655946274469943"
"0xc16042528e780c05b23c722fe787b30b83300d95","234403.827219352672","226765.720682782625","7638.106536570047",4,"234403827219352672"
"0x963d071201275fd5fa3dc9bb34fd3d0275ba97a7","108143.72503449847","105833.324520509734","2310.400513988736",3,"108143725034498470"
"0x4085e9fb679dd2f60c2e64afe9533107fa1c18f2","103755.609232930275","102450.257317974291","1305.351914955984",1,"103755609232930275"
"0xfaf6feffee93ef663583c140a4f44f08faf07609","4754.701715903831","3720.885542801835","1033.816173101996",1,"4754701715903831"
"0x9954c7a44b705366f0347c36ffe692e65c3accfd","36633.247972841996","34773.704543943629","1859.543428898367",2,"36633247972841996"
"0x1f458a9be58e2f8585baa4b4fa07c5b2ae255752","95799.293303935091","95051.683948700222","747.609355234869",1,"95799293303935091"
"0x058a021861fad3c57a389e89b52b8734c0d9685a","18989.919942423388","16164.326572014045","2825.593370409343",3,"18989919942423388"
"0xd71a83e47d5eead6dfecf0d1b479f5787d6e00ee","40229.132922420436","37879.841984030292","2349.290938390144",2,"40229132922420436"
"0x9f64d53981e317c102b3c591d75aa1ab28baf599","304970.371060085666","303603.775500918694","1366.595559166972",2,"304970371060085666"
"0xa47c0b73ec45a428ab6902c027481082d6db1132","28399.746428023419","26905.083061407914","1494.663366615505",4,"28399746428023419"
"0x35c3ccbbfcd78f2b3581260c5464a74e58d27049","4349.505059037663","3679.002674552322","670.502384485341",1,"4349505059037663"
"0x156a0ea9035bfe5a712d4fd88a39a5d1ff64f472","2624.282157116711","631.529896149978","1992.752260966733",1,"2624282157116711"
"0x4d801db56cfa5eaba84f6bc79e5cc6d8f2b5c4d3","19037.502151498221","15571.725421764072","3465.776729734149",3,"19037502151498221"
